Epsiode Cummulative Reward: 40.298508644104004, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 564.9659241437912, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.4437904357910156e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 911.753710269928, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 720.33581417799, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2754.5708732008934, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 733.76864361763, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2200.4663990736008, Episode Timestpes: 3692,
Epsiode Cummulative Reward: 881.5298369526863, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 696.828352689743, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1186.2872908115387, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2596.735043346882, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2208.861904859543, Episode Timestpes: 3360,
Epsiode Cummulative Reward: 4643.969647228718, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1674.9066903591156, Episode Timestpes: 1465,
Epsiode Cummulative Reward: 365.2052176594734, Episode Timestpes: 337,
Epsiode Cummulative Reward: 2235.519040822983, Episode Timestpes: 1328,
Epsiode Cummulative Reward: 4636.84695905447, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1606.9029692411423, Episode Timestpes: 865,
Epsiode Cummulative Reward: 1647.2014701366425, Episode Timestpes: 2783,
Epsiode Cummulative Reward: 1437.3134081959724, Episode Timestpes: 1232,
Epsiode Cummulative Reward: 4967.630523145199, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 352.57904076576233, Episode Timestpes: 480,
Epsiode Cummulative Reward: 1676.585800409317, Episode Timestpes: 960,
Epsiode Cummulative Reward: 2767.7455119490623, Episode Timestpes: 714,
Epsiode Cummulative Reward: 1161.9402832388878, Episode Timestpes: 452,
Epsiode Cummulative Reward: 2219.776093542576, Episode Timestpes: 1762,
Epsiode Cummulative Reward: 1160.2611719369888, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1225.7462505698204, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 811.0074372291565, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 110.82089501619339, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.5676021575927734e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.212162017822266e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.635883331298828e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.377696990966797e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.4570693969726562e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.152557373046875e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.086162567138672e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.3113021850585938e-05, Episode Timestpes: 4500,
